terms |         sin |         cos |         tan 
------+-------------+-------------+-------------
    1 |   0.0000000 |   1.0000000 |   0.0000000
    2 |   1.0000000 |   1.0000000 |   1.0000000
    3 |   1.0000000 |   0.5000000 |   2.0000000
    4 |   0.8333333 |   0.5000000 |   1.6666667
    5 |   0.8333333 |   0.5416667 |   1.5384615
    6 |   0.8416667 |   0.5416667 |   1.5538462
    7 |   0.8416667 |   0.5402778 |   1.5578406
    8 |   0.8414683 |   0.5402778 |   1.5574734
    9 |   0.8414683 |   0.5403026 |   1.5574019
   10 |   0.8414710 |   0.5403026 |   1.5574070
   11 |   0.8414710 |   0.5403023 |   1.5574078
