terms |         sin |         cos |         tan 
------+-------------+-------------+-------------
    1 |   0.0000000 |   1.0000000 |   0.0000000
    2 |  -0.5000000 |   1.0000000 |  -0.5000000
    3 |  -0.5000000 |   0.8750000 |  -0.5714286
    4 |  -0.4791667 |   0.8750000 |  -0.5476190
    5 |  -0.4791667 |   0.8776042 |  -0.5459941
    6 |  -0.4794271 |   0.8776042 |  -0.5462908
    7 |  -0.4794271 |   0.8775825 |  -0.5463043
    8 |  -0.4794255 |   0.8775825 |  -0.5463025
    9 |  -0.4794255 |   0.8775826 |  -0.5463025
